Station,Station_Type,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Mean Wind Speed (km/h)
Admiralty,Full AWS Station,2018,1,1,9.3,25.2,28.4,23.3,9.9
Admiralty,Full AWS Station,2018,1,2,9.3,25.2,28.4,23.3,9.9
Admiralty,Full AWS Station,2018,1,3,9.3,25.2,28.4,23.3,9.9
Admiralty,Full AWS Station,2018,1,4,9.3,25.2,28.4,23.3,9.9
Admiralty,Full AWS Station,2018,1,5,5,25.9,28.2,24.8,5.8
Admiralty,Full AWS Station,2018,1,6,0,27.1,31.2,24.6,6.8
Admiralty,Full AWS Station,2018,1,7,2.4,26.6,32.1,24.2,9
Admiralty,Full AWS Station,2018,1,8,48,26.3,31.6,22.6,6.8
Admiralty,Full AWS Station,2018,1,9,7.2,26.9,32.1,25.1,8.6
Admiralty,Full AWS Station,2018,1,10,22.2,24.4,26.3,23.1,8.6
Admiralty,Full AWS Station,2018,1,11,14.4,23.4,25.4,21.7,10.8
Admiralty,Full AWS Station,2018,1,12,8.6,22.5,23.4,21.7,11.5
Admiralty,Full AWS Station,2018,1,13,15.6,22.7,23.4,22,9.4
Admiralty,Full AWS Station,2018,1,14,5.8,23.1,24.8,21.2,11.5
Admiralty,Full AWS Station,2018,1,15,0.6,24.5,27.3,22.6,10.8
Admiralty,Full AWS Station,2018,1,16,0,25.9,29.1,23.3,11.5
Admiralty,Full AWS Station,2018,1,17,0,27,31,24.6,13.3
Admiralty,Full AWS Station,2018,1,18,0,27,31.1,24.5,13.7
Admiralty,Full AWS Station,2018,1,19,5.6,26.7,33.4,24.1,9
Admiralty,Full AWS Station,2018,1,20,6.8,26.3,33.2,24.7,6.8
Admiralty,Full AWS Station,2018,1,21,1.6,27.6,33.6,24.2,9.4
Admiralty,Full AWS Station,2018,1,22,0,27.7,31.9,25.1,8.3
Admiralty,Full AWS Station,2018,1,23,20,26.7,30,24.1,8.3
Admiralty,Full AWS Station,2018,1,24,5.4,26.6,31.6,23.5,7.6
Admiralty,Full AWS Station,2018,1,25,12,26.7,31.6,24.1,7.9
Admiralty,Full AWS Station,2018,1,26,0.4,26.4,31.3,24.8,8.3
Admiralty,Full AWS Station,2018,1,27,0,27.5,33.1,24.8,9
Admiralty,Full AWS Station,2018,1,28,28,26.6,33,23,9
Admiralty,Full AWS Station,2018,1,29,0,27.5,32.3,24.1,9.7
Admiralty,Full AWS Station,2018,1,30,8.4,27.7,34.7,25.4,9.4
Admiralty,Full AWS Station,2018,1,31,5.6,27.7,33.1,23.9,12.2
Admiralty,Full AWS Station,2018,2,1,3.8,28,31.8,25.8,15.8
Admiralty,Full AWS Station,2018,2,2,5.8,25.2,26.5,23.9,12.6
Admiralty,Full AWS Station,2018,2,3,0.2,26.8,30.5,24.3,15.8
Admiralty,Full AWS Station,2018,2,4,1.4,26,29.3,24.5,15.8
Admiralty,Full AWS Station,2018,2,5,0,26.4,30,24.5,17.6
Admiralty,Full AWS Station,2018,2,6,0,26.1,29.8,23.9,16.2
Admiralty,Full AWS Station,2018,2,7,0,25.4,27.9,23.9,14
Admiralty,Full AWS Station,2018,2,8,0,25.9,29.3,23.5,14.8
Admiralty,Full AWS Station,2018,2,9,0,26.1,30.9,23.3,16.9
Admiralty,Full AWS Station,2018,2,10,0,26,30.7,23.1,14.4
Admiralty,Full AWS Station,2018,2,11,0,26.5,31.2,23.6,14.8
Admiralty,Full AWS Station,2018,2,12,0,26.8,31.2,23.9,17.6
Admiralty,Full AWS Station,2018,2,13,0,26.8,31.7,24.2,15.1
Admiralty,Full AWS Station,2018,2,14,0,26.5,30.6,24.1,15.1
Admiralty,Full AWS Station,2018,2,15,1.8,27.2,32.9,24.3,10.1
Admiralty,Full AWS Station,2018,2,16,0,27.5,33,24.4,9.7
Admiralty,Full AWS Station,2018,2,17,1.2,27.2,33.4,24.2,10.8
Admiralty,Full AWS Station,2018,2,18,0,27.3,33.6,24.8,11.5
Admiralty,Full AWS Station,2018,2,19,0,27.1,32,23.9,15.5
Admiralty,Full AWS Station,2018,2,20,0,27.3,31.9,24.5,14
Admiralty,Full AWS Station,2018,2,21,0,27.4,31.3,24.9,14.8
Admiralty,Full AWS Station,2018,2,22,0,27.7,33.8,24.5,13
Admiralty,Full AWS Station,2018,2,23,12.4,26.4,31.5,23.3,10.1
Admiralty,Full AWS Station,2018,2,24,3.4,25.1,26.9,23.8,10.4
Admiralty,Full AWS Station,2018,2,25,0,26.8,30.4,24.6,12.6
Admiralty,Full AWS Station,2018,2,26,0,27.1,30.4,25.1,15.5
Admiralty,Full AWS Station,2018,2,27,0,27.1,31.3,24.7,13.3
Admiralty,Full AWS Station,2018,2,28,49.6,27.4,33.4,23.5,10.8
Admiralty,Full AWS Station,2018,3,1,0,27.6,32,25.1,11.5
Admiralty,Full AWS Station,2018,3,2,19.2,27.1,32.7,24.6,8.3
Admiralty,Full AWS Station,2018,3,3,3,27.2,32.1,25.6,9.7
Admiralty,Full AWS Station,2018,3,4,4.8,27.4,34.8,24.6,6.1
Admiralty,Full AWS Station,2018,3,5,0,28.1,33.1,25.5,13.7
Admiralty,Full AWS Station,2018,3,6,0,28.5,35.6,25.1,7.2
Admiralty,Full AWS Station,2018,3,7,8.6,26.1,28.5,24.1,8.6
Admiralty,Full AWS Station,2018,3,8,0,26.6,29.3,24.8,10.4
Admiralty,Full AWS Station,2018,3,9,0,27.9,31.7,25.1,16.2
Admiralty,Full AWS Station,2018,3,10,9,26.8,29.7,24.6,16.9
Admiralty,Full AWS Station,2018,3,11,0,27.2,30.7,24.8,15.5
Admiralty,Full AWS Station,2018,3,12,0,27.5,30.7,25.2,13.3
Admiralty,Full AWS Station,2018,3,13,0,27.7,31.5,25.5,12.2
Admiralty,Full AWS Station,2018,3,14,0,28.1,33.2,25.4,11.2
Admiralty,Full AWS Station,2018,3,15,0,28.5,34.8,25.2,9.7
Admiralty,Full AWS Station,2018,3,16,0,28.2,33,26.4,13
Admiralty,Full AWS Station,2018,3,17,0,28.4,33.6,25.9,12.2
Admiralty,Full AWS Station,2018,3,18,0,28.1,32.1,25.7,14
Admiralty,Full AWS Station,2018,3,19,0.6,28.4,33.6,25.7,11.5
